anzahl;vorname;geschlecht;position
76;Marie;w;2
58;Sophie;w;2
45;Alexander;m;2
42;Emilia;w;1
40;Charlotte;w;1
39;Ben;m;1
39;Oskar;m;1
38;Anton;m;1
36;Emil;m;1
35;Felix;m;1
34;Ella;w;1
32;Karl;m;1
32;Leon;m;1
32;Paul;m;1
31;Mia;w;1
31;Mila;w;1
30;Jonas;m;1
30;Lukas;m;1
28;Paul;m;2
28;Emma;w;1
28;Henry;m;1
28;Theodor;m;1
26;Marie;w;1
26;Max;m;1
26;Maximilian;m;1
24;Anna;w;1
24;Emily;w;1
24;Greta;w;1
24;Luise;w;1
24;Paula;w;1
24;Noah;m;1
24;Theo;m;1
23;Luise;w;2
23;Maria;w;2
23;Hannah;w;1
23;Maja;w;1
23;Liam;m;1
23;Milan;m;1
22;Amelie;w;1
22;Leni;w;1
22;Finn;m;1
21;Maximilian;m;2
21;Charlotte;w;2
21;Isabella;w;1
21;Johanna;w;1
21;Lina;w;1
20;Elisabeth;w;2
20;Jakob;m;1
20;Hanna;w;1
20;Jonathan;m;1
20;Nele;w;1
20;Julian;m;1
19;Lara;w;1
19;Erik;m;1
19;Pauline;w;1
19;Louis;m;1
18;Alma;w;1
18;Alexander;m;1
18;Clara;w;1
18;Leo;m;1
18;Lea;w;1
18;Leonard;m;1
18;Nora;w;1
18;Tim;m;1
17;Laura;w;1
17;Mika;m;1
17;Lotta;w;1
17;Moritz;m;1
17;Niklas;m;1
16;Frieda;w;1
16;Julia;w;1
16;Elias;m;1
16;Mara;w;1
16;Luca;m;1
16;Sophia;w;1
16;Till;m;1
16;Vincent;m;1
15;Anton;m;2
15;Emilia;w;2
15;Helena;w;1
15;Lena;w;1
15;Arthur;m;1
15;Leonie;w;1
15;Friedrich;m;1
15;Luisa;w;1
15;Marlene;w;1
15;Martha;w;1
15;Tilda;w;1
14;Friedrich;m;2
14;Louis;m;2
14;Henri;m;1
14;Raphael;m;1
14;Luna;w;1
13;Karl;m;2
13;Linus;m;1
13;Nils;m;1
13;Ole;m;1
13;Ida;w;1
12;Johanna;w;2
12;Adrian;m;1
12;Elena;w;1
12;Käthe;w;1
12;Lia;w;1
12;Matilda;w;1
12;Merle;w;1
12;Pia;w;1
12;Stella;w;1
11;Elias;m;2
11;Luca;m;2
11;Louise;w;2
11;Thomas;m;2
11;Edgar;m;1
11;Johannes;m;1
11;Lennard;m;1
11;Pepe;m;1
11;Frida;w;1
11;Maria;w;1
10;Helene;w;2
10;Richard;m;2
10;Luisa;w;2
10;Robert;m;2
10;Joshua;m;1
10;Konstantin;m;1
10;Matteo;m;1
10;Timo;m;1
10;Eva;w;1
10;Finja;w;1
10;Klara;w;1
10;Maya;w;1
10;Melina;w;1
10;Mina;w;1
10;Paulina;w;1
10;Ronja;w;1
9;Katharina;w;2
9;Frederik;m;2
9;Sophia;w;2
9;Leander;m;2
9;Peter;m;2
9;Valentin;m;2
9;Benjamin;m;1
9;Bruno;m;1
9;Carl;m;1
9;Daniel;m;1
9;Jan;m;1
9;John;m;1
9;Jona;m;1
9;Julius;m;1
9;Juri;m;1
9;Alina;w;1
9;Justus;m;1
9;Elina;w;1
9;Mats;m;1
9;Helene;w;1
9;Matti;m;1
9;Josephine;w;1
9;Oscar;m;1
9;Lisa;w;1
9;Tom;m;1
9;Marta;w;1
9;Wilhelm;m;1
9;Mira;w;1
9;Nina;w;1
9;Romy;w;1
9;Thea;w;1
9;Victoria;w;1
8;Elise;w;2
8;Mathilda;w;2
8;Rosalie;w;2
8;Emil;m;2
8;Victoria;w;2
8;Fritz;m;2
8;Jakob;m;2
8;Joel;m;2
8;Levi;m;2
8;Ole;m;2
8;Wilhelm;m;2
8;David;m;1
8;Ferdinand;m;1
8;Florian;m;1
8;Johann;m;1
8;Joris;m;1
8;Antonia;w;1
8;Lennox;m;1
8;Elise;w;1
8;Luis;m;1
8;Lilli;w;1
8;Luke;m;1
8;Lucy;w;1
8;Milo;m;1
8;Philipp;m;1
8;Valentin;m;1
7;Marie;w;3
7;Amalia;w;2
7;Anna;w;2
7;Mia;w;2
7;Rose;w;2
7;Sofie;w;2
7;Valentina;w;2
7;August;m;2
7;Georg;m;2
7;Kurt;m;2
7;Leon;m;2
7;Liam;m;2
7;Martin;m;2
7;Amalia;w;1
7;Amelia;w;1
7;Fiona;w;1
7;August;m;1
7;Lilly;w;1
7;Damian;m;1
7;Lotte;w;1
7;Fritz;m;1
7;Louisa;w;1
7;Fynn;m;1
7;Mariella;w;1
7;Jannik;m;1
7;Mathilda;w;1
7;Jannis;m;1
7;Olivia;w;1
7;Jonah;m;1
7;Sophie;w;1
7;Leopold;m;1
7;Yuna;w;1
7;Levin;m;1
7;Zoe;w;1
7;Malte;m;1
7;Marlon;m;1
7;Mattis;m;1
7;Maxim;m;1
7;Phil;m;1
7;Samuel;m;1
7;Simon;m;1
6;Elisabeth;w;3
6;Dorothea;w;2
6;Elisa;w;2
6;Emma;w;2
6;Jasmin;w;2
6;Josefine;w;2
6;Lilly;w;2
6;Andreas;m;2
6;Magdalena;w;2
6;Benjamin;m;2
6;Martha;w;2
6;David;m;2
6;Pauline;w;2
6;Felix;m;2
6;Sofia;w;2
6;Johannes;m;2
6;Viktoria;w;2
6;Leonard;m;2
6;Oskar;m;2
6;René;m;2
6;Werner;m;2
6;Amilia;w;1
6;Amy;w;1
6;Anastasia;w;1
6;Annabell;w;1
6;Anouk;w;1
6;Ava;w;1
6;Elisa;w;1
6;Aaron;m;1
6;Flora;w;1
6;Alfred;m;1
6;Fritzi;w;1
6;Benno;m;1
6;Juna;w;1
6;Eddie;m;1
6;Kira;w;1
6;Emilio;m;1
6;Magdalena;w;1
6;Eric;m;1
6;Melia;w;1
6;Fabian;m;1
6;Melissa;w;1
6;Fiete;m;1
6;Miriam;w;1
6;Franz;m;1
6;Rosa;w;1
6;Hannes;m;1
6;Sarah;w;1
6;Jasper;m;1
6;Selma;w;1
6;Leonardo;m;1
6;Smilla;w;1
6;Nick;m;1
6;Sofia;w;1
6;Nicolas;m;1
6;Wilma;w;1
6;Philip;m;1
6;Piet;m;1
6;Richard;m;1
6;Tobias;m;1
5;Sophie;w;3
5;Frida;w;2
5;Henriette;w;2
5;Isabella;w;2
5;Klara;w;2
5;Adam;m;2
5;Käthe;w;2
5;Albert;m;2
5;Lena;w;2
5;Christian;m;2
