anzahl;vorname;geschlecht;position
47;Marie;w;2
41;Maria;w;2
36;Sophie;w;2
36;Emil;m;1
33;Noah;m;1
31;Paul;m;1
30;Charlotte;w;1
30;Emma;w;1
27;Emilia;w;1
26;Anna;w;1
26;Ella;w;1
25;Anton;m;1
25;Oskar;m;1
25;Sophia;w;1
24;Alexander;m;2
22;Jakob;m;1
22;Maximilian;m;1
22;Mia;w;1
22;Mira;w;1
21;Maximilian;m;2
20;Ali;m;2
20;Jonathan;m;1
20;Julia;w;1
19;David;m;1
19;Louis;m;1
19;Mathilda;w;1
18;Charlotte;w;2
18;Adam;m;1
18;Emily;w;1
18;Leo;m;1
18;Ida;w;1
18;Leon;m;1
18;Lina;w;1
18;Theo;m;1
18;Mila;w;1
17;Ali;m;1
17;Maria;w;1
17;Elias;m;1
17;Felix;m;1
17;Theodor;m;1
16;Paul;m;2
16;Johanna;w;1
16;Lara;w;1
16;Lea;w;1
16;Karl;m;1
16;Paula;w;1
15;Jakob;m;2
15;Johann;m;1
15;Hanna;w;1
15;Levi;m;1
15;Marie;w;1
15;Milan;m;1
14;Luise;w;2
14;Frida;w;1
14;Liam;m;1
14;Laura;w;1
14;Max;m;1
14;Moritz;m;1
13;Elisabeth;w;2
13;Ava;w;1
13;Clara;w;1
13;Ben;m;1
13;Elena;w;1
13;Benjamin;m;1
13;Greta;w;1
13;Jonas;m;1
13;Maya;w;1
13;Leonard;m;1
13;Luca;m;1
13;Vincent;m;1
12;Elias;m;2
12;Johanna;w;2
12;Matilda;w;1
12;Nora;w;1
12;Olivia;w;1
12;Alexander;m;1
12;Tilda;w;1
12;Daniel;m;1
12;Simon;m;1
12;Tim;m;1
11;Karl;m;2
11;Valentin;m;2
11;Anna;w;2
11;Emilia;w;2
11;Alma;w;1
11;Elisabeth;w;1
11;Leonie;w;1
11;Bruno;m;1
11;Rosa;w;1
11;Friedrich;m;1
11;Sophie;w;1
11;Julian;m;1
10;Anton;m;2
10;David;m;2
10;Rose;w;2
10;Emil;m;2
10;Jonathan;m;2
10;Martin;m;2
10;Hannah;w;1
10;Edgar;m;1
10;Juna;w;1
10;Finn;m;1
10;Lena;w;1
10;Luis;m;1
10;Luise;w;1
10;Yusuf;m;1
10;Mina;w;1
9;Anh;m;3
9;Helene;w;2
9;Louis;m;2
9;Adrian;m;1
9;Amelie;w;1
9;Arthur;m;1
9;Frieda;w;1
9;Erik;m;1
9;Helena;w;1
9;Henry;m;1
9;Luna;w;1
9;Lukas;m;1
9;Marlene;w;1
9;Mateo;m;1
9;Meryem;w;1
9;Mattis;m;1
9;Sofia;w;1
9;Samuel;m;1
9;Tony;m;1
9;Ömer;m;1
8;Maria;w;3
8;Greta;w;2
8;Lou;w;2
8;Sophia;w;2
8;Ferdinand;m;2
8;Friedrich;m;2
8;Leander;m;2
8;Leo;m;2
8;Leon;m;2
8;Levi;m;2
8;Samuel;m;2
8;Elif;w;1
8;Elisa;w;1
8;Lia;w;1
8;Carl;m;1
8;Lotta;w;1
8;Emir;m;1
8;Luisa;w;1
8;Hamza;m;1
8;Marla;w;1
8;Hüseyin;m;1
8;Merle;w;1
8;Ibrahim;m;1
8;Jan;m;1
8;Johnny;m;1
8;Joshua;m;1
8;Matteo;m;1
8;Milo;m;1
8;Muhammed;m;1
8;Omar;m;1
8;Philipp;m;1
7;Elisa;w;2
7;Lea;w;2
7;Victoria;w;2
7;Arthur;m;2
7;Felix;m;2
7;Finn;m;2
7;Liam;m;2
7;Luca;m;2
7;Maxim;m;2
7;Michael;m;2
7;Ada;w;1
7;Alva;w;1
7;Josephine;w;1
7;Klara;w;1
7;Leyla;w;1
7;Lisa;w;1
7;Martha;w;1
7;Pauline;w;1
7;Pia;w;1
7;Aaron;m;1
7;Stella;w;1
7;Ahmad;m;1
7;Amir;m;1
7;Carlo;m;1
7;Fiete;m;1
7;Florian;m;1
7;Georg;m;1
7;Gustav;m;1
7;Henri;m;1
7;Johan;m;1
7;Justus;m;1
7;Lucas;m;1
7;Mert;m;1
7;Mohammad;m;1
7;Niklas;m;1
7;Ole;m;1
6;Alexandra;w;2
6;Anh;w;2
6;Jasmin;w;2
6;Lina;w;2
6;Luisa;w;2
6;Mina;w;2
6;Rosa;w;2
6;Su;w;2
6;James;m;2
6;Josef;m;2
6;Konstantin;m;2
6;Leonard;m;2
6;Matthias;m;2
6;Minh;m;2
6;Oskar;m;2
6;Vincent;m;2
6;Willem;m;2
6;Wolfgang;m;2
6;Alice;w;1
6;Alina;w;1
6;Helene;w;1
6;Jana;w;1
6;Laila;w;1
6;Lilli;w;1
6;Maja;w;1
6;Mara;w;1
6;Maryam;w;1
6;Nele;w;1
6;Selma;w;1
6;Thea;w;1
